dataset,fold,phase,fe,count
pittsburg-bridges-TYPE,1,late,minmax,0
pittsburg-bridges-TYPE,2,early,identity,8
pittsburg-bridges-TYPE,2,early,autofeat,3
pittsburg-bridges-TYPE,2,early,random_proj,8
pittsburg-bridges-TYPE,2,early,ht_svd,15
pittsburg-bridges-TYPE,2,early,robust,0
pittsburg-bridges-TYPE,2,early,minmax,0
pittsburg-bridges-TYPE,2,mid,identity,1
pittsburg-bridges-TYPE,2,mid,autofeat,3
pittsburg-bridges-TYPE,2,mid,random_proj,5
pittsburg-bridges-TYPE,2,mid,ht_svd,24
pittsburg-bridges-TYPE,2,mid,robust,0
pittsburg-bridges-TYPE,2,mid,minmax,0
pittsburg-bridges-TYPE,2,late,identity,1
pittsburg-bridges-TYPE,2,late,autofeat,2
pittsburg-bridges-TYPE,2,late,random_proj,3
pittsburg-bridges-TYPE,2,late,ht_svd,27
pittsburg-bridges-TYPE,2,late,robust,0
pittsburg-bridges-TYPE,2,late,minmax,0
pittsburg-bridges-TYPE,3,early,identity,7
pittsburg-bridges-TYPE,3,early,autofeat,2
pittsburg-bridges-TYPE,3,early,random_proj,2
pittsburg-bridges-TYPE,3,early,ht_svd,23
pittsburg-bridges-TYPE,3,early,robust,0
pittsburg-bridges-TYPE,3,early,minmax,0
pittsburg-bridges-TYPE,3,mid,identity,4
pittsburg-bridges-TYPE,3,mid,autofeat,6
pittsburg-bridges-TYPE,3,mid,random_proj,3
pittsburg-bridges-TYPE,3,mid,ht_svd,20
pittsburg-bridges-TYPE,3,mid,robust,0
pittsburg-bridges-TYPE,3,mid,minmax,0
pittsburg-bridges-TYPE,3,late,identity,6
pittsburg-bridges-TYPE,3,late,autofeat,4
pittsburg-bridges-TYPE,3,late,random_proj,2
pittsburg-bridges-TYPE,3,late,ht_svd,21
pittsburg-bridges-TYPE,3,late,robust,0
pittsburg-bridges-TYPE,3,late,minmax,0
conn-bench-sonar-mines-rocks,0,early,identity,11
conn-bench-sonar-mines-rocks,0,early,autofeat,11
conn-bench-sonar-mines-rocks,0,early,random_proj,3
conn-bench-sonar-mines-rocks,0,early,ht_svd,9
conn-bench-sonar-mines-rocks,0,early,robust,0
conn-bench-sonar-mines-rocks,0,early,minmax,0
conn-bench-sonar-mines-rocks,0,mid,identity,14
conn-bench-sonar-mines-rocks,0,mid,autofeat,5
conn-bench-sonar-mines-rocks,0,mid,random_proj,9
conn-bench-sonar-mines-rocks,0,mid,ht_svd,5
conn-bench-sonar-mines-rocks,0,mid,robust,0
conn-bench-sonar-mines-rocks,0,mid,minmax,0
conn-bench-sonar-mines-rocks,0,late,identity,12
conn-bench-sonar-mines-rocks,0,late,autofeat,4
conn-bench-sonar-mines-rocks,0,late,random_proj,10
conn-bench-sonar-mines-rocks,0,late,ht_svd,7
conn-bench-sonar-mines-rocks,0,late,robust,0
conn-bench-sonar-mines-rocks,0,late,minmax,0
conn-bench-sonar-mines-rocks,1,early,identity,4
conn-bench-sonar-mines-rocks,1,early,autofeat,9
conn-bench-sonar-mines-rocks,1,early,random_proj,11
conn-bench-sonar-mines-rocks,1,early,ht_svd,10
conn-bench-sonar-mines-rocks,1,early,robust,0
conn-bench-sonar-mines-rocks,1,early,minmax,0
conn-bench-sonar-mines-rocks,1,mid,identity,3
conn-bench-sonar-mines-rocks,1,mid,autofeat,10
conn-bench-sonar-mines-rocks,1,mid,random_proj,8
conn-bench-sonar-mines-rocks,1,mid,ht_svd,12
conn-bench-sonar-mines-rocks,1,mid,robust,0
conn-bench-sonar-mines-rocks,1,mid,minmax,0
conn-bench-sonar-mines-rocks,1,late,identity,18
conn-bench-sonar-mines-rocks,1,late,autofeat,7
conn-bench-sonar-mines-rocks,1,late,random_proj,1
conn-bench-sonar-mines-rocks,1,late,ht_svd,7
conn-bench-sonar-mines-rocks,1,late,robust,0
conn-bench-sonar-mines-rocks,1,late,minmax,0
conn-bench-sonar-mines-rocks,2,early,identity,4
conn-bench-sonar-mines-rocks,2,early,autofeat,10
conn-bench-sonar-mines-rocks,2,early,random_proj,13
conn-bench-sonar-mines-rocks,2,early,ht_svd,7
conn-bench-sonar-mines-rocks,2,early,robust,0
conn-bench-sonar-mines-rocks,2,early,minmax,0
conn-bench-sonar-mines-rocks,2,mid,identity,6
conn-bench-sonar-mines-rocks,2,mid,autofeat,9
conn-bench-sonar-mines-rocks,2,mid,random_proj,13
conn-bench-sonar-mines-rocks,2,mid,ht_svd,5
conn-bench-sonar-mines-rocks,2,mid,robust,0
conn-bench-sonar-mines-rocks,2,mid,minmax,0
conn-bench-sonar-mines-rocks,2,late,identity,15
conn-bench-sonar-mines-rocks,2,late,autofeat,3
conn-bench-sonar-mines-rocks,2,late,random_proj,9
conn-bench-sonar-mines-rocks,2,late,ht_svd,6
conn-bench-sonar-mines-rocks,2,late,robust,0
conn-bench-sonar-mines-rocks,2,late,minmax,0
conn-bench-sonar-mines-rocks,3,early,identity,13
conn-bench-sonar-mines-rocks,3,early,autofeat,8
conn-bench-sonar-mines-rocks,3,early,random_proj,6
conn-bench-sonar-mines-rocks,3,early,ht_svd,7
conn-bench-sonar-mines-rocks,3,early,robust,0
conn-bench-sonar-mines-rocks,3,early,minmax,0
conn-bench-sonar-mines-rocks,3,mid,identity,13
conn-bench-sonar-mines-rocks,3,mid,autofeat,15
conn-bench-sonar-mines-rocks,3,mid,random_proj,5
conn-bench-sonar-mines-rocks,3,mid,ht_svd,0
conn-bench-sonar-mines-rocks,3,mid,robust,0
conn-bench-sonar-mines-rocks,3,mid,minmax,0
conn-bench-sonar-mines-rocks,3,late,identity,22
conn-bench-sonar-mines-rocks,3,late,autofeat,5
conn-bench-sonar-mines-rocks,3,late,random_proj,6
conn-bench-sonar-mines-rocks,3,late,ht_svd,0
conn-bench-sonar-mines-rocks,3,late,robust,0
conn-bench-sonar-mines-rocks,3,late,minmax,0
